Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
"Frontmatter (TOC, Letters, Election Results, Software Reliability Resources!, Computing Curricula 2004 and the Software Engineering Volume SE2004, Software Reuse Research, ICSE 2005 Forward)",,2005,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Challenges and recommendations when increasing the realism of controlled software engineering experiments,"Sjoberg, Dag I.K. and Anda, Bente and Arisholm, Erik and Dyba, Tore and Jorgensen, Magne and Karahasanovi, Amela and Voka, Marek",2003,El Compendex,Rejected,Out of Scope,,N/A,N/A
Imperative versus declarative constraint specification languages: a controlled experiment,"Maraee, Azzam and Sturm, Arnon",2021,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Trace anomalies as precursors of field failures: an empirical study,"Elbaum, Sebastian and Kanduri, Satya and Andrews, Anneliese",2007,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Group versus individual use of power-only {EPMcreate} as a creativity enhancement technique for requirements elicitation,"Sakhnini, Victoria and Mich, Luisa and Berry, Daniel M.",2017,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An experimental investigation of personality types impact on pair effectiveness in pair programming,"Sfetsos, Panagiotis and Stamelos, Ioannis and Angelis, Lefteris and Deligiannis, Ignatios",2008,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Mining understandable state machine models from embedded code,"Said, Wasim and Quante, Jochen and Koschke, Rainer",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Do developers benefit from requirements traceability when evolving and maintaining a software system?,"Mäder, Patrick and Egyed, Alexander",2015,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Maximising the information gained from a study of static analysis technologies for concurrent software,"Wojcicki, Margaret A. and Strooper, Paul",2007,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Assessing the impact of real-time machine translation on multilingual meetings in global software projects,"Calefato, Fabio and Lanubile, Filippo and Conte, Tayana and Prikladnicki, Rafael",2016,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Assessing the understandability of {UML} statechart diagrams with composite states—{A} family of empirical studies,"Cruz-Lemus, José A. and Genero, Marcela and Manso, M. Esperanza and Morasca, Sandro and Piattini, Mario",2009,Springer Link,Accepted,,Experiment,1.0,Explore relationships
On the comprehension of workflows modeled with a precise style: results from a family of controlled experiments,"Reggio, Gianna and Ricca, Filippo and Scanniello, Giuseppe and Cerbo, Francesco Di and Dodero, Gabriella",2015,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Comparing the influence of using feature-oriented programming and conditional compilation on comprehending feature-oriented software,"Rodrigues Santos, Alcemir and do Carmo Machado, Ivan and Santana de Almeida, Eduardo and Siegmund, Janet and Apel, Sven",2019,Springer Link,Accepted,,Experiment,1.0,Explore relationships
An experimental comparison of {ER} and {UML} class diagrams for data modelling,"De Lucia, Andrea and Gravino, Carmine and Oliveto, Rocco and Tortora, Genoveffa",2010,Springer Link,Accepted,,Experiment,1.0,Explore relationships
{ExpRunA} : a domain-specific approach for technology-oriented experiments,"Silva, Eneias and Leite, Alessandro and Alves, Vander and Apel, Sven",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Automated product line test case selection: industrial case study and controlled experiment,"Wang, Shuai and Ali, Shaukat and Gotlieb, Arnaud and Liaaen, Marius",2017,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Variation factors in the design and analysis of replicated controlled experiments,"Runeson, Per and Stefik, Andreas and Andrews, Anneliese",2014,Springer Link,Accepted,,Experiment,1.0,Validate measures
"Modeling compliance specifications in linear temporal logic, event processing language and property specification patterns: a controlled experiment on understandability","Czepa, Christoph and Amiri, Amirali and Ntentos, Evangelos and Zdun, Uwe",2019,Springer Link,Accepted,,Experiment,1.0,Confirm theories
An industry experiment on the effects of test-driven development on external quality and productivity,"Tosun, Ayse and Dieste, Oscar and Fucci, Davide and Vegas, Sira and Turhan, Burak and Erdogmus, Hakan and Santos, Adrian and Oivo, Markku and Toro, Kimmo and Jarvinen, Janne and Juristo, Natalia",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Are test cases needed? {Replicated} comparison between exploratory and test-case-based software testing,"Itkonen, Juha and Mäntylä, Mika V.",2014,Springer Link,Accepted,,Experiment,1.0,Validate measures
Proactive planning of bandwidth resource using simulation-based what-if predictions for {Web} services in the cloud,"Hu, Jianpeng and Huang, Linpeng and Sun, Tianqi and Fan, Ying and Hu, Wenqiang and Zhong, Hao",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Commenting source code: is it worth it for small programming tasks?,"Nielebock, Sebastian and Krolikowski, Dariusz and Krüger, Jacob and Leich, Thomas and Ortmeier, Frank",2019,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Crowdsmelling: {A} preliminary study on using collective knowledge in code smells detection,"Reis, José Pereira dos and Abreu, Fernando Brito e. and Carneiro, Glauco de Figueiredo",2022,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Experimental {Evaluation} of {Program} {Slicing} for {Fault} {Localization},"Kusumoto, Shinji and Nishimatsu, Akira and Nishie, Keisuke and Inoue, Katsuro",2002,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Using error abstraction and classification to improve requirement quality: conclusions from a family of four empirical studies,"Walia, Gursimran S. and Carver, Jeffrey C.",2013,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A {Further} {Empirical} {Investigation} of the {Relationship} {Between} {MRE} and {Project} {Size},"Stensrud, Erik and Foss, Tron and Kitchenham, Barbara and Myrtveit, Ingunn",2003,Springer Link,Accepted,,Experiment,1.0,Explore relationships
An experimental evaluation of a higher-ordered-typed-functional specification-based test-generation technique,"Sinha, Avik and Smidts, Carol",2006,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Evolving software trace links between requirements and source code,"Rahimi, Mona and Cleland-Huang, Jane",2018,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
"Proceedings - 2003 International Symposium on Empirical Software Engineering, ISESE 2003",,2003,El Compendex,Rejected,Out of Scope,,N/A,N/A
An experimental scrutiny of visual design modelling: VCL up against UML+OCL,"Amalio, Nuno and Briand, Lionel and Kelsen, Pierre",2020,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Practical experiences in the design and conduct of surveys in empirical software engineering,"Ciolkowski, Marcus and Laitenberger, Oliver and Vegas, Sira and Biffl, Stefan",2003,El Compendex,Accepted,,Survey,1.0,Evaluate the accuracy of models
Experimental evaluation of conceptual modelling through mind maps and model driven engineering,"Wanderley, Fernando and Silveira, Denis and Araujo, Joao and Moreira, Ana and Guerra, Eduardo",2014,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Effectiveness for detecting faults within and outside the scope of testing techniques: An independent replication,"Apa, Cecilia and Dieste, Oscar and Espinosa G., Edison G. and Fonseca C., Efrain R.",2014,El Compendex,Accepted,,Experiment,1.0,Validate measures
Code inspection supported by stepwise abstraction and visualization: An experimental study,"Belgamo, Anderson and Hernandes, Elis Montoro and Zamboni, Augusto and Rovina, Rafael and Fabbri, Sandra",2014,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Comprehensibility of UML-based software product line specifications A controlled experiment,"Reinhartz-Berger, Iris and Sturm, Arnon",2014,El Compendex,Accepted,,Survey,1.0,Explore relationships
Using mini-projects to teach empirical software engineering,"Felderer, Michael and Kuhrmann, Marco",2019,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An experiment on linguistic tool support for consolidation of requirements from multiple sources in market-driven product development,"Natt och Dag, Johan and Thelin, Thomas and Regnell, Björn",2006,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Assessing the SALSA architecture for developing agent-based ambient computing applications,Marcela D. Rodríguez and Jesús Favela,2012,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Identification and management of technical debt: A systematic mapping study,Nicolli S.R. Alves and Thiago S. Mendes and Manoel G. {de Mendonça} and Rodrigo O. Spínola and Forrest Shull and Carolyn Seaman,2016,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Quality measurement in agile and rapid software development: A systematic mapping,Lidia López and Xavier Burgués and Silverio Martínez-Fernández and Anna Maria Vollmer and Woubshet Behutiye and Pertti Karhapää and Xavier Franch and Pilar Rodríguez and Markku Oivo,2022,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Assessing the effect of requirements traceability for software maintenance,"Mäder, Patrick and Egyed, Alexander",2012,IEEE Xplore,Rejected,Out of Scope,,N/A,N/A
Influence on the use of an IDE tool support in the pair programming: A controlled experiment,"Gomez, Omar S. and Aguileta, Antonio A.",2018,IEEE Xplore,Accepted,,Experiment,1.0,Explore relationships
Assessing {IR}-based traceability recovery tools through controlled experiments,"De Lucia, Andrea and Oliveto, Rocco and Tortora, Genoveffa",2009,Springer Link,Duplicated,,,N/A,N/A
Reporting experiments to satisfy professionals’ information needs,"Jedlitschka, Andreas and Juristo, Natalia and Rombach, Dieter",2014,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Ordering {Fault}-{Prone} {Software} {Modules},"Khoshgoftaar, Taghi M. and Allen, Edward B.",2003,Springer Link,Rejected,Out of Scope,,N/A,N/A
Empirical evaluation of an educational game on software measurement,"Gresse von Wangenheim, Christiane and Thiry, Marcello and Kochanski, Djone",2009,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Modified Version Control Tool for Component-Based Systems,"Kaur, Parminder and Singh, Hardeep",2013,ACM Digital Library,Duplicated,,,N/A,N/A
Software Architecture Improvement through Test-Driven Development,"Janzen, David S.",2005,ACM Digital Library,Duplicated,,,N/A,N/A
Security Vulnerabilities in Categories of Clones and Non-Cloned Code: An Empirical Study,"Islam, Md Rakibul and Zibran, Minhaz F. and Nagpal, Aayush",2017,ACM Digital Library,Duplicated,,,1.0,Explore relationships
Anchoring and Adjustment in Software Estimation,"Aranda, Jorge and Easterbrook, Steve",2005,ACM Digital Library,Duplicated,,,1.0,Confirm theories
Early Estimation of Software Quality Using In-Process Testing Metrics: A Controlled Case Study,"Nagappan, Nachiappan and Williams, Laurie and Vouk, Mladen and Osborne, Jason",2005,ACM Digital Library,Duplicated,,,1.0,Evaluate the accuracy of models
Creating Personas Focused on Representing Potential Requirements to Support the Design of Applications,"Ferreira, Bruna and Barbosa, Simone and Conte, Tayana",2018,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A Systems Analysis of Systems Integration,"Schaefer, Robert",2008,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
Assessing the maintainability of software product line feature models using structural metrics,"Bagheri, Ebrahim and Gasevic, Dragan",2011,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Do explicit review strategies improve code review performance? {Towards} understanding the role of cognitive load,"Gonçalves, Pavlína Wurzel and Fregnan, Enrico and Baum, Tobias and Schneider, Kurt and Bacchelli, Alberto",2022,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Prompter,"Ponzanelli, Luca and Bavota, Gabriele and Di Penta, Massimiliano and Oliveto, Rocco and Lanza, Michele",2016,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Associating working memory capacity and code change ordering with code review performance,"Baum, Tobias and Schneider, Kurt and Bacchelli, Alberto",2019,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Integrating business process simulation and information system simulation for performance prediction,"Heinrich, Robert and Merkle, Philipp and Henss, Jörg and Paech, Barbara",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Extending the reflexion method for consolidating software variants into product lines,"Koschke, Rainer and Frenzel, Pierre and Breu, Andreas P. J. and Angstmann, Karsten",2009,Springer Link,Rejected,Out of Scope,,N/A,N/A
Claimed advantages and disadvantages of (dedicated) model transformation languages: a systematic literature review,"Götz, Stefan and Tichy, Matthias and Groner, Raffaela",2021,Springer Link,Rejected,Not a primary study,,N/A,N/A
Automatic software refactoring: a systematic literature review,"Baqais, Abdulrahman Ahmed Bobakr and Alshayeb, Mohammad",2020,Springer Link,Rejected,Not a primary study,,N/A,N/A
A systematic test case selection methodology for product lines: results and insights from an industrial case study,"Wang, Shuai and Ali, Shaukat and Gotlieb, Arnaud and Liaaen, Marius",2016,Springer Link,Rejected,Out of Scope,,N/A,N/A
Requirements engineering education: a systematic mapping study,"Ouhbi, Sofia and Idri, Ali and Fernández-Alemán, José Luis and Toval, Ambrosio",2015,Springer Link,Rejected,Not a primary study,,N/A,N/A
A multiple comparative study of test-with development product changes and their effects on team speed and product quality,"Bannerman, Steve and Martin, Andrew",2011,Springer Link,Rejected,Out of Scope,,N/A,N/A
Guest editorial: {Program} comprehension,"Oliveto, Rocco and Bird, Christian",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Foreword to the special issue on empirical research in requirements engineering,"Grünbacher, Paul and Perini, Anna",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
Special issue on program comprehension,"Godfrey, Michael W. and van Deursen, Arie",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
Foreword to the special issue on empirical evidence on software product line engineering,"Bagheri, Ebrahim and Benavides, David and Schmid, Klaus and Runeson, Per",2016,Springer Link,Rejected,Out of Scope,,N/A,N/A
Link analysis algorithms for static concept location: an empirical assessment,"Scanniello, Giuseppe and Marcus, Andrian and Pascale, Daniele",2015,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
In {This} {Issue},"Briand, Lionel and Basili, Victor",2003,Springer Link,Duplicated,,,N/A,N/A
In {This} {Issue},,2005,Springer Link,Duplicated,,,N/A,N/A
Investigating the {Role} of {Use} {Cases} in the {Construction} of {Class} {Diagrams},"Anda, Bente and Sjøberg, Dag I. K.",2005,Springer Link,Duplicated,,,N/A,N/A
Supporting {Controlled} {Experimentation} with {Testing} {Techniques}: {An} {Infrastructure} and its {Potential} {Impact},"Do, Hyunsook and Elbaum, Sebastian and Rothermel, Gregg",2005,Springer Link,Rejected,Out of Scope,,N/A,N/A
Collecting {Feedback} during {Software} {Engineering} {Experiments},"Karahasanoviæ, Amela and Anda, Bente and Arisholm, Erik and Hove, Siw Elisabeth and Jørgensen, Magne and Sjøberg, Dag I. K. and Welland, Ray",2005,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
"{SoftCoDeR} approach: promoting {Software} {Engineering} {Academia}-{Industry} partnership using {CMD}, {DSR} and {ESE}","Choma, Joelma and Zaina, Luciana A. M. and da Silva, Tiago S.",2016,Springer Link,Accepted,,Experiment,0.0,
Towards an evidence-based theoretical framework on factors influencing the software development productivity,"Chapetta, Wladmir Araujo and Travassos, Guilherme Horta",2020,Springer Link,Rejected,Not a primary study,,N/A,N/A
Four commentaries on the use of students and professionals in empirical software engineering experiments,"Feldt, Robert and Zimmermann, Thomas and Bergersen, Gunnar R. and Falessi, Davide and Jedlitschka, Andreas and Juristo, Natalia and Münch, Jürgen and Oivo, Markku and Runeson, Per and Shepperd, Martin and Sjøberg, Dag I. K. and Turhan, Burak",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
In this issue,"Maldonado, José and Wohlin, Claes",2008,Springer Link,Duplicated,,,N/A,N/A
"The past, present, and future of experimental software engineering","Basili, Victor Robert",2006,Springer Link,Rejected,Out of Scope,,N/A,N/A
Testing embedded software: A survey of the literature,Vahid Garousi and Michael Felderer and Çağrı Murat Karapıçak and Uğur Yılmaz,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Platform design space exploration using architecture decision viewpoints–A longitudinal study,U. {van Heesch} and A. Jansen and H. Pei-Breivold and P. Avgeriou and C. Manteuffel,2017,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A Survey of Empirical Results on Program Slicing,David Binkley and Mark Harman,2004,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Chapter Six - Mutation Testing Advances: An Analysis and Survey,Mike Papadakis and Marinos Kintis and Jie Zhang and Yue Jia and Yves Le Traon and Mark Harman,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
An exploratory study on assessing the energy impact of logging on Android applications,"Chowdhury, Shaiful and Di Nardo, Silvia and Hindle, Abram and Jiang, Zhen Ming (Jack)",2018,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Applying empirical software engineering to software architecture: challenges and lessons learned,"Falessi, Davide and Babar, Muhammad Ali and Cantone, Giovanni and Kruchten, Philippe",2010,Springer Link,Duplicated,,,N/A,N/A
Empirical validation of class diagram metrics,"Genero, M. and Piattini, M. and Calero, C.",2002,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
AspectOCL: using aspects to ease maintenance of evolving constraint specification,"Khan, Muhammad Uzair and Sartaj, Hassan and Iqbal, Muhammad Zohaib and Usman, Muhammad and Arshad, Numra",2019,El Compendex,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Modeling foundations for executable model-based testing of self-healing cyber-physical systems,"Ma, Tao and Ali, Shaukat and Yue, Tao",2019,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Uncertainty-{Wise} {Cyber}-{Physical} {System} test modeling,"Zhang, Man and Ali, Shaukat and Yue, Tao and Norgren, Roland and Okariz, Oscar",2019,Springer Link,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Exploring the effectiveness of an augmented reality dressing room,"Erra, Ugo and Scanniello, Giuseppe and Colonnese, Valerio",2018,Springer Link,Accepted,,Survey,1.0,Evaluate the accuracy of models
Replaying development history to assess the effectiveness of change propagation tools,"Hassan, Ahmed E. and Holt, Richard C.",2006,Springer Link,Accepted,,Case Study,1.0,Evaluate the accuracy of models
An empirical study for software change prediction using imbalanced data,"Malhotra, Ruchika and Khanna, Megha",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Studying human-to-computer bias transference,"Johansen, Johanna and Pedersen, Tore and Johansen, Christian",2021,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Boosting crash-inducing change localization with rank-performance-based feature subset selection,"Guo, Zhaoqiang and Li, Yanhui and Ma, Wanwangying and Zhou, Yuming and Lu, Hongmin and Chen, Lin and Xu, Baowen",2020,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Increasing Efficiency and Effectiveness of Software Product Line Evolution: An Infrastructure on Top of Configuration Management,"Anastasopoulos, Michail",2009,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
There is No Random Sampling in Software Engineering Research,"Amir, Bilal and Ralph, Paul",2018,ACM Digital Library,Rejected,Not a primary study,,N/A,N/A
Modeling robustness behavior using aspect-oriented modeling to support robustness testing of industrial systems,"Ali, Shaukat and Briand, Lionel C. and Hemmati, Hadi",2012,Springer Link,Rejected,Out of Scope,,N/A,N/A
Automated issue assignment: results and insights from an industrial case,"Aktas, Ethem Utku and Yilmaz, Cemal",2020,Springer Link,Rejected,Out of Scope,,N/A,N/A
Modelo Colaborativo y Distribuido Para Ense\~{n}anza de La Usabilidad,"Aballay, Laura and Collazos, C\'{e}sar A. and Herrera, Myriam",2011,ACM Digital Library,Rejected,Not in EN/PT,,N/A,N/A
: an integrated modeling approach for developing educational modules,"Barbosa, Ellen Francine and Maldonado, José Carlos",2011,Springer Link,Rejected,Out of Scope,,N/A,N/A
4th International Workshop on Conducting Empirical Studies in Industry (CESI 2016): Post-Workshop Report,"Duarte, Carlos Henrique C. and Jedlitschka, Andreas and Bener, Ayse",2017,ACM Digital Library,Rejected,Out of Scope,,N/A,N/A
2002 {International} {Symposium} on {Empirical} {Software} {Engineering} ({ISESE} 2002),,2002,Springer Link,Rejected,Out of Scope,,N/A,N/A
A case study on software risk analysis and planning in medical device development,"Lindholm, Christin and Notander, Jesper Pedersen and Höst, Martin",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
The impact of group size on software architecture evaluation: A controlled experiment,"Ali Babar, Muhammad and Kitchenham, Barbara",2007,El Compendex,Duplicated,,,1.0,Confirm theories
Evaluating advantages of test driven development: A controlled experiment with professionals,"Canfora, Gerardo and Cimitile, Aniello and Garcia, Felix and Piattini, Mario and Visaggio, Corrado Aaron",2006,El Compendex,Duplicated,,,N/A,N/A
Design patterns in software maintenance: An experiment replication at Brigham young university,"Krein, Jonathan L. and Pratt, Landon J. and Swenson, Alan B. and MacLean, Alexander C. and Knutson, Charles D. and Eggett, Dennis L.",2011,El Compendex,Duplicated,,,1.0,Confirm theories
Cohort studies in software engineering: A vision of the future,"Saarimaki, Nyyti and Lenarduzzi, Valentina and Vegas, Sira and Juristo, Natalia and Taibi, Davide",2020,El Compendex,Duplicated,,,N/A,N/A
Evaluating the usefulness of software visualization in supporting software comprehension activities,"Carneiro, Glauco De F. and Magnavita, Rodrigo and Spinola, Eduardo and Spinola, Fabio and Mendonca, Manoel",2008,El Compendex,Duplicated,,,N/A,N/A
Evaluating pair programming with respect to system complexity and programmer expertise,"Arisholm, Erik and Gallis, Hans and Dyba, Tore and Sjoberg, Dag I.K.",2007,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
Examination of the software architecture change characterization scheme using three empirical studies,"Williams, Byron J. and Carver, Jeffrey C.",2014,Springer Link,Duplicated,,,1.0,Evaluate the accuracy of models
Considerations and {Pitfalls} for {Reducing} {Threats} to the {Validity} of {Controlled} {Experiments} on {Code} {Comprehension},"Feitelson, Dror G.",2022,Springer Link,Duplicated,,,N/A,N/A
Using patterns for the refinement and translationof {UML} models: {A} controlled experiment,"Bunse, Christian",2006,Springer Link,Duplicated,,,N/A,N/A
An {Externally} {Replicated} {Experiment} for {Evaluating} the {Learning} {Effectiveness} of {Using} {Simulations} in {Software} {Project} {Management} {Education},"Pfahl, Dietmar and Laitenberger, Oliver and Dorsch, Jörg and Ruhe, Günther",2003,Springer Link,Duplicated,,,N/A,N/A
Quality vs. quantity: comparing evaluation methods in a usability-focused software architecture modification task,"Golden, E. and John, B.E. and Bass, L.",2005,IEEE Xplore,Duplicated,,,1.0,Explore relationships
Investigating training effects on software reviews: a controlled experiment,"Land, L.P.W. and Tan, B.C.Y. and Bin, L.",2005,IEEE Xplore,Duplicated,,,0.0,
A systematic mapping study on software engineering testbeds,"Barreiros, Emanoel and Almeida, Adauto and Saraiva, Juliana and Soares, Seergio",2011,El Compendex,Duplicated,,,N/A,N/A
Developing search strategies for detecting relevant experiments,"Dieste, Oscar and Griman, Anna and Juristo, Natalia",2009,El Compendex,Rejected,Out of Scope,,N/A,N/A
Real walking in virtual learning environments: Beyond the advantage of naturalness,"Heintz, Matthias",2009,El Compendex,Rejected,Out of Scope,,N/A,N/A
Conducting realistic experiments in software engineering,"Sjoberg, D.I.K. and Anda, B. and Arisholm, E. and Dyba, T. and Jorgensen, M. and Karahasanovic, A. and Koren, E.F. and Vokac, M.",2002,El Compendex,Rejected,Out of Scope,,N/A,N/A
Assessing the reproducibility and accuracy of functional size measurement methods through experimentation,"Abrahao, Silvia and Poels, Geert and Pastor, Oscar",2004,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Quality vs. quantity: Comparing evaluation methods in a usability-focused software architecture modification task,"Golden, Elspeth and John, Bonnie E. and Bass, Len",2005,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Methodology support in CASE tools and its impact on individual acceptance and use: A controlled experiment,"Zettel, Jorg",2005,El Compendex,Accepted,,Experiment,1.0,Explore relationships
"Relevance, benefits, and problems of software modelling and model driven techniques—A survey in the Italian industry",Marco Torchiano and Federico Tomassetti and Filippo Ricca and Alessandro Tiso and Gianna Reggio,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
An experimental replication on the effect of the practice of mindfulness in conceptual modeling performance,Beatriz Bernárdez and Amador Durán and José A. Parejo and Antonio Ruiz–Cortés,2018,Science@Direct,Accepted,,Experiment,1.0,Validate measures
Chapter Five - Approaches and Tools for Automated End-to-End Web Testing,Maurizio Leotta and Diego Clerissi and Filippo Ricca and Paolo Tonella,2016,Science@Direct,Accepted,,Experiment,0.0,
Toward collisions produced in requirements rankings: A qualitative approach and experimental study,Luis A. Rojas and José A. Macías,2019,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The impact of Test-First programming on branch coverage and mutation score indicator of unit tests: An experiment,Lech Madeyski,2010,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
